SupplierId;Name
1;Microsoft
2;Ernst & Young
3;UPS
4;Deloitte
5;Adecco Group
6;Fedex
7;Deutsche Post
8;Marsh McLennan
9;Hilton
10;Dell
11;KPMG
12;Gartner
13;PWC
14;Securitas
15;American Express
16;Siemens
17;SGS
18;Amazon
19;Mettler Toledo
20;Johnson Controls
21;NO VALID NAME
22;IBM
23;Air Liquide
24;AON
25;Linde
26;ABB Group
27;Employee
28;SAP
29;Bureau Veritas
30;Edenred
31;RS Group
32;Ricoh
33;DSV
34;Wurth
35;Open Text
36;Ecolab
37;Marriott International
38;Randstad
39;Atlas Copco
40;Quadient
41;Thermo Fisher Scientific
42;Veolia
43;Manpowergroup
44;Illinois Tool Works
45;TÜV SÜD
46;Willis Towers Watson
47;DB Schenker
48;Deutsche Telekom
49;Sodexo
50;S&P Global
51;Honeywell International
52;Verizon
53;Franz Haniel & Cie
54;Canon
55;Allianz
56;Ingersoll Rand
57;Robert Half
58;WPP
59;Iron Mountain
60;Rexel
61;Eurofins Scientific
62;Staples
63;Danaher Corporation
64;Kuehne + Nagel
65;Spirax-Sarco Engineering
66;Accenture
67;BNP Paribas
68;Avantor
69;AT&T
70;Pitney Bowes
71;Emerson Electric
72;Blomberg
73;Salesforce
74;Lyreco
75;Alphabet
76;Aramark
77;Volkswagen
78;Wolters Kluwer
79;AXA
80;CBRE Group
81;Engie
82;Manutan
83;Vodafone
84;Spectris
85;Kion Group
86;Assa Abloy
87;Avnet
88;Schneider
89;Oracle
90;Vinci
91;Shell
92;CDW
93;Relx
94;Cintas
95;Radisson Hospitality
96;ADP
97;Rentokil
98;BASF
99;Dachser
100;Brenntag
101;Eaton
102;Jungheinrich
103;Toyota Industries
104;Clean Harbors
105;Hays
106;Rhenus Group
107;3M Company
108;Merck Group
109;Xerox
110;Telefonica
111;Thyssenkrupp
112;Dun & Bradstreet
113;Suez
114;Lumen Technologies
115;Uline
116;W. W. Grainger
117;Sick
118;Stericycle
119;Bechtle
120;ISS
121;Axel Springer
122;Kaeser Kompressoren
123;Mercedes-Benz Group
124;The Swiss Confederation
125;Societe Generale
126;Federal Republic of Germany
127;Informa
128;United Technologies
129;General Electric Company
130;Societe De Negoce Et De Participation
131;Festo
132;Accor
133;Insight Enterprises
134;Brady Corporation
135;Schindler
136;Keyence
137;Ametek
138;La Poste
139;E.ON
140;Brady
141;Agility Logistics
142;Rubix
143;Compass
144;Compagnie De Saint-Gobain
145;Fastenal
146;Systemax
147;Chubb
148;Hp
149;Smurfit Kappa
150;Remondis
151;Essentra
152;Nestlé
153;Mcmaster Carr Supply
154;Maersk
155;Wells Fargo
156;McKinsey & Company
157;Nippon Telegraph and Telephone (NTT)
158;Korn Ferry
159;Teamviewer
160;Dover Corporation
161;Konica Minolta
162;Stanley Black & Decker
163;Endress+Hauser
164;Dumont Mediengruppe
165;Dekra
166;Element Materials Technology
167;Konecranes
168;Bosch
169;Royal Mail
170;Nch
171;Robert Bosch
172;C.H. Robinson Worldwide
173;TÜV Rheinland
174;Fuchs Petrolub
175;Capgemini
176;Government Of The United States
177;Adobe
178;Hitachi
179;Électricité de France
180;Rockwell Automation
181;Republic Services
182;KCF
183;Shi International
184;Berkshire Hathaway Holding
185;Sartorius
186;Bayerische Motoren Werke
187;LSG
188;Crown Equipment
189;Sanofi
190;Commonwealth Of Pennsylvania
191;AIG
192;Hewlett Packard Enterprise Company
193;Alsco
194;SKF
195;Testo
196;State Of Arizona
197;Kelly Services
198;Orange
199;Olympus
200;ADT Security Services
201;Global Distributor
202;Feng Tay Enterprises
203;Fujifilm Toyama Chemical
204;Tkg Taekwang
205;Changshin
206;Human Vaccine
207;A R Life Sciences
208;Bactolac Pharmaceuticals Inc
209;Sodium Metal
210;Jia International
211;Eva Overseas International
212;Nestrade S A
213;Fortune Planet Industrial
214;Helios Pharmaceuticals
215;Phillips Receivable Funding
216;Federalʹnaia Tamozhennaia Sluzhba Rossi
217;Pratama Abadi Industri
218;Longchuan Simona Footwear
219;Jiangsu Alpha Pharmaceutical
220;Cervejarias Kaiser Brasil
221;Republic Airlines
222;Deepak Fertilisers & Petrochemicals
223;Win Mega Universal
224;Farplas Otomotiv
225;Shenzhou International
226;Jalaram Pharmacy
227;Active Life Pharma Agency
228;Steril-Gene Life Sciences
229;Group Pharmaceuticals
230;Vestel Ti̇caret
231;Gst Receiving Plant
232;Swiss Garnier Life Sciences
233;IMC Companies
234;Airlines Clearing House
235;Mega International Trading
236;Marvel Garment
237;Eagle Nice Development
238;Macao Commercial Offshore
239;Coskunoz Metal Form Makina Endustri
240;Nursan Kablo Donanimlari
241;Ingenus Pharmaceuticals
242;Tgv Sraac
243;Shagun Marketing Services
244;Dallas Fort Worth Company
245;Saudi Aramco
246;Vital Therapeutics And Formulations
247;Martur Sünger Ve Koltuk Tesisleti
248;Mas Amity
249;Grand Max
250;Sbm Offshore
251;International Aero Engines
252;RTX Corporation
253;Huihai Group Limited
254;Nabros Pharma
255;Creative Flavors
256;Hella Infra Market
257;Hi-Tech Apparel
258;Sociedad Cuauhtemoc Y Famosa
259;Chemic Life Sciences
260;Magni-Tech Industries
261;Enterprise Products Partners
262;Pralia
263;Ucb India
264;Zollamt Marburg
265;Shriji Polymers
266;Dade County Aviation Department
267;Liberty Energy
268;Fuji - Blommer
269;Lianhetech
270;Pure & Cure Healthcare
271;Beycelik Gestamp
272;K-I Chemical
273;Chemspec Chemicals
274;Halewood Laboratories
275;Coficab
276;Jiangsu Baozong & Baoda Pharmachem
277;Ever Radiant Worldwide
278;Saipem Spa
279;Accelor International
280;Sabrina Fashion Industrial
281;Noble Bd
282;Adis Dimension Footwear
283;Tag Industries
284;Baotong Yijie Intelligent Technology
285;Hensel Phelps
286;Aeropuertos y Servicios Auxiliares
287;Fisia Comercio de Produtos Esportivos
288;Unclassified
289;Fountain Agua Mineral
290;Oriks
291;Promotora Industrial Azucarera
292;Cristalpet Sul Industria Comercio
293;TRHC TPA
294;Cetex Petrochemicals
295;Acme Generics
296;Archeesh Health Care
297;Tesorería de la Federación
298;Protech Engineering Industries
299;R A Pharmaceuticals
300;Svak Pack Services
301;Heathrow Airport
302;Oneiro Lifecare
303;Doktas Dokumculuk
304;Mas Alsafi Apparel Manufacturing
305;Chandak Laboratories
306;Medical House Products
307;Ototrim Panel
308;European Commision
309;Mro Commercial
310;Torchgarden
311;Hangzhou Proserre Chemical
312;Mesa Air Group
313;KLN Enterprises
314;Hunan Haili Chemical Industry
315;Sonal Plasrub Industries
316;Leng-d'Or
317;Pine Tree For Textile Manufacturing
318;Somaiya Organics
319;Stena Carron Drilling
320;Kinetic Advertising Shanghai
321;OMD Worldwide
322;Airnov India
323;O-I Netherlands
324;Niagara Bottling
325;China Jiangsu International Economi
326;Tai Wah Garments Industry
327;Guyana Deep Water Ii Uk
328;Liansyn Pahrma
329;Laguardia Gateway Partners
330;Sol Caribbean
331;Tradechem International
332;Sv Plastochem
333;Immigration And Naturalization
334;Abhilasha Pharma
335;Tagros Chemicals India
336;Prospect Airport Services
337;Island Energy Investor Holdings
338;Cerovene
339;Odelo Otomotiv Aydinlatma
340;Marubeni-Itochu Steel
341;Infusester Dairy
342;Zenji Research Laboratories
343;Canopus International
344;Maxion
345;Copersucar
346;Daiichi Elektronik
347;Propetro Services
348;Tung Mung Textile Company
349;Assan Hanil Otomotiv
350;Resirene
351;Relypsa
352;Shanghai No 4 Reagent Chemical Co
353;Dfe Pharma India
354;Rainbow-Cargotec Industries
355;Dnp Imagingcomm America
356;G Boats
357;Grain Craft
358;Amagasaki Pipe Czech
359;Pilgrim Food
360;Kamala Lifescinces
361;Pgt Khelske
362;Milteks Tekstil
363;New Holland Apparel
364;Retal Group
365;Dolgen
366;Şi̇şecam Otomoti̇v
367;Reggefiber Operator B.V.
368;Zeon Lifesciences
369;Vijayasri Chemicals
370;Transcanada Keystone Pipeline Partnership
371;Perrigo & Perrigo
372;Guyana Deep Water Uk
373;Jupiter Clinical Services
374;Meghmani Organics
375;The Pharm Us
376;Yop Factory
377;Kanaan
378;Besix Watpac
379;Jiangsu Rainbow Industr Equipment
380;Yesim Satis Magazalari Tekstil
381;Yildiz Kalip
382;Vulkor
383;Angst+Pfister Group
384;Pharmastar
385;Yuen Industrial
386;Vaasavaa Pharmaceuticals
387;Maharashtra Organo Metallic Catalysts
388;Chunghwa Chemical Synthesis & Biotech
389;Vitol Aviation Company
390;Standard Profil Otomotiv
391;Bain Capital Private Equity
392;Tfb Manufacturing
393;Muratbey Gumruk Mudurlugu
394;Whiting Turner Contracting Company
395;Naxpar Pharma
396;Verndale Products
397;Nantong Provichem Biotech
398;Distribution Office
399;Us Direct Ecommerce
400;Dogana Di Concorrezzo